Płyn do prania Filetti,chemia,1
Płyn do mycia naczyń,chemia,1
Kostki do zmywarki,chemia,1
Ściereczki do naczyń,chemia,1
Kostka sedesowa,chemia,1
Zürisacks,chemia,1
Kompostier Beutel,chemia,1
Płyn do sedesu,chemia,1
Späzli,dania,13
Lazania,dania,13
Oliwka pielęgnacyjna,dziecięce,3
Słoiczki dla Józia,dziecięce,3
Waciki do pupy,dziecięce,3
Pieluszki,dziecięce,3
Pasta do zebów dla dzieci,dziecięce,3
Mus owocowy,dziecięce,3
Kaszka niemowleca,dziecięce,3
Podkład na przewijak,dziecięce,3
Wkładki na piersi,dziecięce,3
Papier toaletowy,higieniczne,2
Reczniki papierowe,higieniczne,2
Papier nawilżony,higieniczne,2
Pasta do zebów dla dorosłych,higieniczne,2
Mydło w kostce,higieniczne,2
Mydło w płynie,higieniczne,2
Patyczki do uszu,higieniczne,2
Witamina C,higieniczne,2
Witamina D,higieniczne,2
Szczoteczka do zębów,higieniczne,2
Plaster,higieniczne,2
Ostrza do golarki,higieniczne,2
Żel pod prysznic,higieniczne,2
Przylepiec akrylowy,higieniczne,2
Kabanosy,mięso,11
Fleichkäse,mięso,11
Mięso mielone,mięso,11
Steak,mięso,11
Wołowina z kościa,mięso,11
Mięso na pieczeń,mięso,11
Boczek,mięso,11
Szynka,mięso,11
Schab,mięso,11
Poledwica,mięso,11
Kiełbaski ślimaczki,mięso,11
Biała kiełbasa,mięso,11
Różowa kielbasa,mięso,11
Pierś z kurczaka,mięso,11
Kurczak,mięso,11
Kurczak pieczony,mięso,11
Ryba,mięso,11
Lody,mrożone,9
Burger,mrożone,9
Mrożone maliny,mrożone,9
Mrożone jeżyny,mrożone,9
Masło,nabiał,8
Mleko,nabiał,8
Mleko bez laktozy,nabiał,8
Mleczko bebe,nabiał,8
Jajka,nabiał,8
Ser mozarella,nabiał,8
Ser raklet,nabiał,8
Grujer,nabiał,8
Śmietana,nabiał,8
Aktimelki,nabiał,8
Serek malinowy,nabiał,8
Serek truskawkowy,nabiał,8
Serek czekoladowy,nabiał,8
Raumkäse Luzerner,nabiał,8
Serek maskarpone,nabiał,8
Ser do fondue,nabiał,8
Piwo bezalkoholowe,napoje,4
Sok pomarańczowy,napoje,4
Syrop do rozcieńczenia,napoje,4
Bschorle,napoje,4
Most,napoje,4
Sok jabłkowy,napoje,4
Woda,napoje,4
Schorle,napoje,4
Herbata czarna,napoje,4
Kwasek cytrynowy,napoje,4
Herbata owocowa,napoje,4
Herbata zielona,napoje,4
Kawa,napoje,4
Kakao,napoje,4
Salbeitee,napoje,4
Mönch mit Salbei Tee,napoje,4
Sok wieloowocowy,napoje,4
Orzechy włoskie,orzechy,10
Pistacje,orzechy,10
Jabłka,owoce,10
Mandarynki,owoce,10
Winogrona,owoce,10
Śliwki,owoce,10
Truskawki,owoce,10
Maliny,owoce,10
Jeżyny,owoce,10
Borówki,owoce,10
Banany,owoce,10
Gruszki,owoce,10
Brzoskwinie,owoce,10
Nektarynki,owoce,10
Nektarynki białe,owoce,10
Cytryna,owoce,10
Drożdże,pieczywo,12
Chleb,pieczywo,12
Chleb ciemny,pieczywo,12
Chleb jasny,pieczywo,12
Chleb fondue,pieczywo,12
Chleb tesin,pieczywo,12
Bułki,pieczywo,12
Bułki jasne,pieczywo,12
Bułki z makiem,pieczywo,12
Gipfel,pieczywo,12
Bułki ciemna,pieczywo,12
Majonez,przyprawy,5
Sól,przyprawy,5
Pieprz,przyprawy,5
Oregano,przyprawy,5
Przyprawa do kurczak,przyprawy,5
Bazylia,przyprawy,5
Keczup,przyprawy,5
Czekolada,słodycze,7
Czekolada gorzka,słodycze,7
Dżem,słodycze,7
Czekolada do smarowania,słodycze,7
Oliwa,sypkie,6
Olej,sypkie,6
Koncentrat pomidorowy,sypkie,6
Cukier,sypkie,6
Pomidory w puszcze,sypkie,6
Mąka,sypkie,6
Roll gerste,sypkie,6
Makaron spagetti,sypkie,6
Wafle kukurydziane,sypkie,6
Wafle ryżowe,sypkie,6
Chrupki kukurydziane,sypkie,6
Makaron do rosołu,sypkie,6
Makaron świderki,sypkie,6
Makaron na lazanie,sypkie,6
Kasza gryczana,sypkie,6
Płatki owsiane,sypkie,6
Skrobia ziemniaczana,sypkie,6
Papryka,warzywa,10
Marchewka,warzywa,10
Por,warzywa,10
Seler,warzywa,10
Cebula,warzywa,10
Buraki,warzywa,10
Brokuły,warzywa,10
Cukinia,warzywa,10
Sałata,warzywa,10
Pomidor,warzywa,10
Ogórek,warzywa,10
Rzodkiewka,warzywa,10
Ziemniaki,warzywa,10
Fasola szparagowa,warzywa,10
Fasola sucha,warzywa,10
Ciecierzyca,warzywa,10
Czosnek,warzywa,10
Imbir,warzywa,10
Pomidory koktajlowe,warzywa,10
Kukurydza,warzywa,10
Groszek,warzywa,10
